ID 名字 股市 板块分类 成立日期 下市时间 全名 地址 主要业务 
000153 丰原药业 深市 主板 2000-09-20 NAN 安徽丰原药业股份有限公司 安徽省合肥市包河工业区大连路16号 主营业务范围包括生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
000155 *ST川化 深市 主板 2000-09-26 NAN 川化股份有限公司 四川省成都市青白江区大弯镇团结路311号 合成氨、尿素、硝酸铵、三聚氰胺、硫酸、浓硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售。
000156 华数传媒 深市 主板 2000-09-06 NAN 华数传媒控股股份有限公司 浙江省杭州市滨江区长江路79号华数白马湖数字电视产业园B座 杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业。
000157 中联重科 深市 主板 2000-10-12 NAN 中联重科股份有限公司 湖南省长沙市银盆南路361号 公司属于工程机械制造业
000158 常山股份 深市 主板 2000-07-24 NAN 石家庄常山纺织股份有限公司 河北省石家庄市和平东路183号 棉纱布、涤棉纱布和印染布的生产销售;自产产品和技术的进出口业务;棉花收购加工;棉花批发、零售。
000159 国际实业 深市 主板 2000-09-26 NAN 新疆国际实业股份有限公司 新疆维吾尔自治区乌鲁木齐市北京南路358号大成国际大厦9楼 石油石化产品批发、销售、仓储、运输业务
000166 申万宏源 深市 主板 2015-01-26 NAN 申万宏源集团股份有限公司 新疆乌鲁木齐市高新区北京南路358号大成国际大厦20楼2001室 金融投资、股权投资等
000301 东方市场 深市 主板 2000-05-29 NAN 江苏吴江中国东方丝绸市场股份有限公司 江苏省苏州市吴江区盛泽镇市场路丝绸股份大厦 房地产开发、经营
000333 美的集团 深市 主板 2013-09-18 NAN 美的集团股份有限公司 广东省佛山市顺德区北?镇美的大道6号美的总部大楼B区26-28楼 以家电产业为主
000338 潍柴动力 深市 主板 2007-04-30 NAN 潍柴动力股份有限公司 山东省潍坊市高新技术产业开发区福寿东街197号甲 潍柴动力是中国最大规模的高速大功率柴油机生产商
000400 许继电气 深市 主板 1997-04-18 NAN 许继电气股份有限公司 河南省许昌市许继大道1298号 生产经营电网调度自动化、配电网自动化、变电站自动化、电站自动化、铁路供电自动化、电网安全稳定控制、电力管理信息系统、电力市场技术支持系统、继电保护及自动化控制装置、继电器、电子式电度表、中压开关及开关柜、变压器、箱式变电站等。
000401 冀东水泥 深市 主板 1996-06-14 NAN 唐山冀东水泥股份有限公司 河北省唐山市丰润区林荫路 水泥、熟料。
000402 金融街 深市 主板 1996-06-26 NAN 金融街控股股份有限公司 北京市西城区金城坊街7号 北京金融街(以下简称金融街)的总体规划、土地开发、房产开发、房屋租赁和综合管理。
000403 ST生化 深市 主板 1996-06-28 NAN 振兴生化股份有限公司 山西省太原市长治路227号高新国际大厦16层 生物化工、化学药品原药及制剂、动物药品、基因药物的研制与生产、电力。
000404 华意压缩 深市 主板 1996-06-19 NAN 华意压缩机股份有限公司 江西省景德镇市高新区长虹大道1号(高新开发区内) 无氟压缩机及其配件的生产和销售。
000405 ST鑫光 深市 主板 1996-06-20 2004-03-19 珠海鑫光集团股份有限公司 广东省珠海市香洲区人民东路121号2000年大酒店17楼9号房 高新科技项目投资与管理；房地产开发项目投资与管理；国内商业贸易投资与经营；物业投资与管理，酒店管理及服务业投资；信息技术服务等现代服务业投资与管理。
000406 石油大明 深市 主板 1996-06-28 2006-04-21 中国石化胜利油田大明(集团)股份有限公司 山东省东营市济南路228号大明大厦 批准许可范围内的石油开发；油井施工服务；化工（不含化学危险品）、建材、电子产品销售；机械加工制造、维修；酒店管理服务；批准范围内的进出口业务；房屋租赁业务。
000407 胜利股份 深市 主板 1996-07-03 NAN 山东胜利股份有限公司 山东省济南市高新区港兴三路北段济南药谷1号楼B座27-33F 塑胶管道、生物技术、国内外贸易和化学农药。
000408 *ST金源 深市 主板 1996-06-28 NAN 金谷源控股股份有限公司 青海省格尔木市昆仑南路15-02号 以黄金为主导产业的矿产资源的勘探、采矿、选矿、冶炼及矿产品的销售。
000409 山东地矿 深市 主板 1996-06-27 NAN 山东地矿股份有限公司 山东省济南市历下区经十路11890号山东地矿股份有限公司 铁矿石开采、加工和铁精粉的销售
000410 *ST沈机 深市 主板 1996-07-18 NAN 沈阳机床股份有限公司 辽宁省沈阳市经济技术开发区开发大路17甲1号 机械设备制造、机床制造、机械加工、进出口贸易(持证经营)。
000411 英特集团 深市 主板 1996-07-16 NAN 浙江英特集团股份有限公司 浙江省杭州市滨江区江南大道96号中化大厦 药品及医疗器械批发、零售业务。
000412 ST五环 深市 主板 1996-07-15 2003-09-19 长春北方五环实业股份有限公司 吉林省长春市二道区惠工路1250号长春内陆港联检大楼811室 中成药、体育赛事、文艺演出、经销建材、钢材、木材、仪器仪表、百货、粮油、食品、汽车(除小轿车)、化工产品、文化体育基础设施的开发，文化体育健身项目的经营。
000413 东旭光电 深市 主板 1996-09-25 NAN 东旭光电科技股份有限公司 北京市海淀区复兴路甲23号临5院 电真空玻璃器件及配套的电子元器件等。经营本企业自产产品的出口业务和本企业所需的机械设备、零配件、原辅材料的进口业务。
000415 渤海金控 深市 主板 1996-07-16 NAN 渤海金控投资股份有限公司 新疆维吾尔自治区乌鲁木齐市新华北路165号广汇中天广场41楼 市政基础设施租赁、电力设施和设备租赁、交通运输基础设施和设备租赁以及新能源/清洁能源设施和设备租赁等。
000416 民生控股 深市 主板 1996-07-19 NAN 民生控股股份有限公司 北京市东城区建国门内大街28号民生金融中心A座15层 股权投资、资产管理、资本经营及相关咨询与服务。
000417 合肥百货 深市 主板 1996-08-12 NAN 合肥百货大楼集团股份有限公司 安徽省合肥市长江西路689号 综合百货、进出口等。
000418 小天鹅A 深市 主板 1997-03-28 NAN 无锡小天鹅股份有限公司 江苏省无锡市国家高新技术开发区长江南路18号 家用电器及零配件等的生产、销售和技术服务。
000419 通程控股 深市 主板 1996-08-16 NAN 长沙通程控股股份有限公司 湖南省长沙市劳动西路589号 商贸、百货的零售与批发
000420 吉林化纤 深市 主板 1996-08-02 NAN 吉林化纤股份有限公司 吉林省吉林市昌邑区九站街516-1号 浆粕、粘胶纤维、竹浆纤维、差别化纤维。
000421 南京公用 深市 主板 1996-08-06 NAN 南京公用发展股份有限公司 江苏省南京市建邺区应天大街927号 客运交通(包括出租客运、城市公交客运、长途客运和汽车租赁)、旅游和房地产开发。
000422 湖北宜化 深市 主板 1996-08-15 NAN 湖北宜化化工股份有限公司 北京市丰台区南四环西四路188号总部基地15区3号楼 化肥、化工产品的生产与销售。
000423 东阿阿胶 深市 主板 1996-07-29 NAN 东阿阿胶股份有限公司 山东省聊城市东阿县阿胶街78号 中成药、生物制药、保健食品、药用辅料、医疗器械、包装印刷等产品的生产经营。
000425 徐工机械 深市 主板 1996-08-28 NAN 徐工集团工程机械股份有限公司 江苏省徐州市经济技术开发区驮蓝山路26号 工程机械、工程机械配件的开发、研制、加工、销售;工程机械维修服务及相关的科技咨询服务
000426 兴业矿业 深市 主板 1996-08-28 NAN 内蒙古兴业矿业股份有限公司 内蒙古自治区赤峰市新城区玉龙大街76号兴业大厦 有色金属采选、冶炼、加工、销售。
000428 华天酒店 深市 主板 1996-08-08 NAN 华天酒店集团股份有限公司 湖南省长沙市芙蓉区解放东路300号华天大酒店贵宾楼五楼 以酒店服务业为主
000429 粤高速A 深市 主板 1998-02-20 NAN 广东省高速公路发展股份有限公司 广东省广州市天河区珠江新城珠江东路32号利通广场45 46层
000430 张家界 深市 主板 1996-08-29 NAN 张家界旅游集团股份有限公司 湖南省张家界市三角坪145号张家界国际大酒店三楼 (1)旅游项目经营;(2)旅游客运;(3)旅行社经营;(4)其他:酒店经营、房屋租赁、广告等。
000488 晨鸣纸业 深市 主板 2000-11-20 NAN 山东晨鸣纸业集团股份有限公司 山东省寿光市农圣东街2199号 机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售。
000498 山东路桥 深市 主板 1997-06-09 NAN 山东高速路桥集团股份有限公司 山东省济南市经五路330号 公路、桥梁工程、隧道工程、市政工程、建筑工程、交通工程、港口与航道工程、铁路工程、城市轨道交通工程施工;承包境外公路、桥梁、隧道工程、港口与航道工程、铁路工程、城市轨道交通工程及境内国际招标工程;工程技术咨询服务;工程机械的租赁、销售、维修;交通及附属设施、高新技术及产品的投资、开发、经营;能源环保等基础设施项目开发、建设、投资和经营。(以工商管理部门最终核定为准)。
000501 鄂武商A 深市 主板 1992-11-20 NAN 武汉武商集团股份有限公司 湖北省武汉市汉口解放大道690号 商业零售及批发业务
000502 绿景控股 深市 主板 1992-11-23 NAN 绿景控股股份有限公司 广东省广州市天河区林和中路8号海航大厦35楼 房地产开发经营;安装工程承包及设计(凭许可证经营);室内外装饰装修工程;花木园林工程设计;旅游项目开发;高新科技产业开发;工农业项目开发;交通项目开发;电子商务服务。
000503 海虹控股 深市 主板 1992-11-30 NAN 海虹企业(控股)股份有限公司 海南省海口市文华路18号文华大酒店七层 医药电子商务、数字娱乐、高科技化纤等业务。
000504 南华生物 深市 主板 1992-12-08 NAN 南华生物医药股份有限公司 湖南省长沙市天心区城南西路3号财信大厦13楼 资讯、媒体、文化传播投资管理;高新技术产业投资管理;技术开发、转让、咨询服务;提供信息源服务;网络技术服务;承接计算机网络工程;系统集成;销售计算机软硬件及外围设备、通讯产品。
000505 *ST珠江 深市 主板 1992-12-21 NAN 海南珠江控股股份有限公司 海南省海口市滨海大道珠江广场帝豪大厦29楼 房地产开发经营
000506 中润资源 深市 主板 1993-03-12 NAN 中润资源投资股份有限公司 山东省济南市经十路13777号中润世纪广场17栋 房地产开发
000507 珠海港 深市 主板 1993-03-26 NAN 珠海港股份有限公司 广东省珠海市情侣南路278号 港口交通运输业务、房地产开发、进出口业务。
000508 琼民源A 深市 主板 1993-04-30 1999-07-12 海南民源现代农业发展股份有限公司 海南省海口市机场东路龙舌坡办公住宅区 热带种植业、养殖业、农副产品加工业、自然资源综合开发、科技研究、第二产业的开发、房地产开发经营、交通运输。
000509 华塑控股 深市 主板 1993-05-07 NAN 华塑控股股份有限公司 四川省成都市武侯区火车南站西路15号麦田中心15F 塑料型材、铝合金型材及门窗的生产、销售以及园林设计施工等业务。
000510 金路集团 深市 主板 1993-05-07 NAN 四川金路集团股份有限公司 四川省德阳市泰山南路二段733号银鑫?五洲广场一期21栋22-23层 生产销售PVC树脂、烧碱系列化工原料及其加工产品等。
000511 *ST烯碳 深市 主板 1993-05-18 NAN 银基烯碳新材料股份有限公司 辽宁省沈阳市沈河区青年大街109号 土地整理
000513 丽珠集团 深市 主板 1993-10-28 NAN 丽珠医药集团股份有限公司 广东省珠海市金湾区创业北路38号总部大楼 医药产品的生产
000514 渝开发 深市 主板 1993-07-12 NAN 重庆渝开发股份有限公司 重庆市南岸区铜元局刘家花园96号 商品房屋开发、土地开发、房屋租赁、城市污水处理、路桥经营。
